login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
cameronraysmith,cameronraysmith/arweave,2024-10-26T05:06:02Z,0,0,,TRUE,TRUE,GNU General Public License v2.0
jwalsh,jwalsh/aws-gameday-nfl-2024,2024-10-24T21:02:00Z,0,0,Python,TRUE,TRUE,N/A
andralex,andralex/cccl,2024-10-24T20:28:30Z,0,0,,TRUE,TRUE,Other
bellesea,bellesea/boatttt,2024-10-24T18:30:42Z,0,0,,TRUE,TRUE,N/A
HamedAlemo,HamedAlemo/raster-data-tutorial,2024-10-24T01:49:41Z,0,0,Jupyter Notebook,TRUE,TRUE,MIT License
ssalbdivad,ssalbdivad/cloudinary-util,2024-10-23T18:27:27Z,0,0,,TRUE,FALSE,MIT License
iamgroot42,iamgroot42/Backdoor_DPR,2024-10-23T15:54:23Z,0,0,,TRUE,TRUE,N/A
BobGerman,BobGerman/Copilot-for-M365-Samples,2024-10-23T15:41:37Z,0,0,,TRUE,FALSE,MIT License
chiroptical,chiroptical/advent-of-code-2024,2024-10-23T10:23:27Z,0,0,Swift,TRUE,FALSE,N/A
weihanglo,weihanglo/rust-openssl,2024-10-22T18:39:14Z,0,0,,TRUE,FALSE,N/A
railwaycat,railwaycat/envoy,2024-10-22T18:35:12Z,0,0,,TRUE,TRUE,Apache License 2.0
neuralmagic,neuralmagic/mistral-evals,2024-10-22T17:14:50Z,0,0,,TRUE,TRUE,N/A
lyoshenka,lyoshenka/512kb.club,2024-10-22T15:47:01Z,0,0,,TRUE,TRUE,MIT License
nareshbhatia,nareshbhatia/autonomous-research,2024-10-21T16:12:48Z,0,0,TypeScript,TRUE,TRUE,N/A
LimHyungTae,LimHyungTae/Kimera-Multi-Data,2024-10-21T15:15:17Z,0,0,,TRUE,TRUE,MIT License
Foundation-Devices,Foundation-Devices/hummingbird,2024-10-21T11:59:41Z,0,0,,TRUE,TRUE,Apache License 2.0
MTACS,MTACS/CarFlex,2024-10-21T04:36:06Z,8,8,Logos,FALSE,FALSE,N/A
Krastanov,Krastanov/dreame-vacuum,2024-10-19T21:34:50Z,0,0,,TRUE,TRUE,MIT License
philzook58,philzook58/bril,2024-10-18T16:16:54Z,0,0,,TRUE,TRUE,MIT License
timbl,timbl/profile-pane,2024-10-17T14:38:20Z,1,1,TypeScript,TRUE,TRUE,N/A
hbctraining,hbctraining/github_pages_demo,2024-10-17T13:22:27Z,0,0,SCSS,TRUE,TRUE,N/A
vtjnash,vtjnash/Aqua.jl,2024-10-15T16:37:12Z,0,0,,TRUE,TRUE,MIT License
greyson-signal,greyson-signal/privacy-configuration,2024-10-15T15:21:58Z,0,0,,TRUE,FALSE,Other
brohrer,brohrer/dotcom,2024-10-15T02:15:48Z,0,0,HTML,TRUE,TRUE,N/A
brohrer,brohrer/dsmq,2024-10-14T02:34:37Z,0,0,Python,TRUE,TRUE,MIT License
JohnbelMDev,JohnbelMDev/AppleDNS,2024-10-13T15:51:11Z,0,0,,TRUE,TRUE,N/A
djcas9,djcas9/brainchop,2024-10-13T14:16:27Z,0,0,,TRUE,TRUE,MIT License
makslevental,makslevental/iree,2024-10-13T01:09:37Z,0,0,C++,TRUE,TRUE,Apache License 2.0
timmywheels,timmywheels/agents-playground,2024-10-12T16:14:26Z,0,0,,TRUE,FALSE,Apache License 2.0
zachmayer,zachmayer/linkinator,2024-10-12T13:17:27Z,0,0,,TRUE,FALSE,MIT License
MatthewPeterKelly,MatthewPeterKelly/polynomial-rs,2024-10-12T10:11:44Z,0,0,Rust,TRUE,TRUE,MIT License
zachmayer,zachmayer/link-checker,2024-10-11T21:45:18Z,0,0,,FALSE,FALSE,"BSD 3-Clause ""New"" or ""Revised"" License"
dylanebert,dylanebert/HAHA,2024-10-11T18:37:43Z,0,0,,TRUE,TRUE,"BSD 3-Clause ""New"" or ""Revised"" License"
dylanebert,dylanebert/CityGaussian,2024-10-11T17:55:29Z,0,0,,TRUE,TRUE,Other
Upstatement,Upstatement/baselayer-docs,2024-10-11T12:12:27Z,0,0,MDX,TRUE,TRUE,N/A
darkerego,darkerego/create3Deployer,2024-10-11T08:24:05Z,0,0,Solidity,TRUE,TRUE,N/A
mdmintz,mdmintz/MyCDP,2024-10-11T01:04:35Z,1,1,Python,TRUE,TRUE,MIT License
robsimmons,robsimmons/dusa-artifact,2024-10-10T15:28:29Z,0,0,JavaScript,TRUE,TRUE,N/A
cacheflowe,cacheflowe/pshader-examples,2024-10-09T14:10:28Z,1,1,,TRUE,TRUE,N/A
philzook58,philzook58/arip,2024-10-08T00:24:37Z,0,0,,TRUE,TRUE,N/A
philzook58,philzook58/awesome-egraphs,2024-10-07T15:13:55Z,91,91,,TRUE,TRUE,MIT License
tekknolagi,tekknolagi/200andchange,2024-10-06T14:44:35Z,0,0,JavaScript,TRUE,TRUE,N/A
mattfeltonma,mattfeltonma/azure-openai-load-testing,2024-10-06T00:27:13Z,0,0,HCL,TRUE,TRUE,MIT License
bellesea,bellesea/bellesea,2024-10-05T15:08:05Z,2,2,,TRUE,TRUE,N/A
johntango,johntango/AssistantAgentFuncs002,2024-10-05T14:56:36Z,0,0,JavaScript,TRUE,TRUE,MIT License
pdurbin,pdurbin/Aditya8840,2024-10-05T11:13:01Z,0,0,,TRUE,TRUE,N/A
iamgroot42,iamgroot42/clean-fid,2024-10-04T21:39:13Z,0,0,,TRUE,TRUE,MIT License
dgiese,dgiese/certmitm,2024-10-04T18:07:49Z,0,0,,TRUE,TRUE,MIT License
